,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
126,canada,2013,0,0,0,1,12,,Stephane Robidas,36,P,8,0,3,3,6,2,0,0,0,0.000,0.375,0.375
127,canada,2013,0,0,0,1,13,,Eric Staal,28,H,8,0,3,3,4,0,0,0,0,0.000,0.375,0.375
128,canada,2013,0,0,0,1,14,,Luke Schenn,23,P,7,1,1,2,27,4,0,0,0,0.143,0.143,0.286
129,canada,2013,0,0,0,1,15,,Brian Campbell,33,P,8,0,2,2,0,7,0,0,0,0.000,0.250,0.250
130,canada,2013,0,0,0,1,16,,Wayne Simmonds,24,H,8,1,0,1,2,0,1,0,0,0.125,0.000,0.125
131,canada,2013,0,0,0,1,17,,Brenden Dillon,22,P,8,1,0,1,0,3,0,0,0,0.125,0.000,0.125
132,canada,2013,0,0,0,1,18,,Jay Harrison,30,P,8,0,1,1,2,2,0,0,0,0.000,0.125,0.125
133,canada,2013,0,0,0,1,19,,T.J. Brodie,22,P,7,0,1,1,0,1,0,0,0,0.000,0.143,0.143
134,canada,2013,0,0,0,1,20,,Mike Smith,31,M,4,0,1,1,0,,0,0,0,0.000,0.250,0.250
135,canada,2013,0,0,0,1,21,,Dan Hamhuis,30,P,3,0,1,1,2,2,0,0,0,0.000,0.333,0.333
136,canada,2013,0,0,0,1,22,,Devan Dubnyk,26,M,4,0,0,0,0,,0,0,0,0.000,0.000,0.000
137,canada,2013,0,0,0,1,23,,P.K. Subban,23,P,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000
138,canada,2012,0,0,0,1,1,,Duncan Keith,28,P,8,1,10,11,0,7,0,0,0,0.125,1.250,1.375
139,canada,2012,0,0,0,1,2,,John Tavares,21,H,8,4,5,9,12,4,0,0,0,0.500,0.625,1.125
140,canada,2012,0,0,0,1,3,,Ryan Getzlaf,26,H,8,2,7,9,27,6,0,0,1,0.250,0.875,1.125
141,canada,2012,0,0,0,1,4,,Jordan Eberle,21,H,8,4,4,8,0,4,1,0,0,0.500,0.500,1.000
142,canada,2012,0,0,0,1,5,,Patrick Sharp,30,H,8,1,7,8,2,2,1,0,0,0.125,0.875,1.000
143,canada,2012,0,0,0,1,6,,Evander Kane,20,H,8,4,3,7,2,6,0,0,1,0.500,0.375,0.875
144,canada,2012,0,0,0,1,7,,Corey Perry,26,H,8,3,4,7,8,7,1,0,1,0.375,0.500,0.875
145,canada,2012,0,0,0,1,8,,Ryan Nugent-Hopkins,19,H,8,4,2,6,4,2,1,0,0,0.500,0.250,0.750
146,canada,2012,0,0,0,1,9,,Jamie Benn,22,H,8,3,2,5,4,4,0,0,1,0.375,0.250,0.625
147,canada,2012,0,0,0,1,10,,Jeff Skinner,19,H,8,3,2,5,4,3,1,0,0,0.375,0.250,0.625
148,canada,2012,0,0,0,1,11,,Andrew Ladd,26,H,8,1,4,5,2,7,0,0,1,0.125,0.500,0.625
149,canada,2012,0,0,0,1,12,,Ryan O'Reilly,21,H,7,2,2,4,4,3,0,0,0,0.286,0.286,0.571
150,canada,2012,0,0,0,1,13,,Alexandre Burrows,31,H,5,3,0,3,2,5,0,1,0,0.600,0.000,0.600
151,canada,2012,0,0,0,1,14,,Kris Russell,25,P,4,0,3,3,2,4,0,0,0,0.000,0.750,0.750
152,canada,2012,0,0,0,1,15,,Dion Phaneuf,27,P,8,2,0,2,4,8,1,0,1,0.250,0.000,0.250
153,canada,2012,0,0,0,1,16,,Teddy Purcell,26,H,8,1,1,2,0,1,0,0,0,0.125,0.125,0.250
154,canada,2012,0,0,0,1,17,,Jay Bouwmeester,28,P,8,0,2,2,0,7,0,0,0,0.000,0.250,0.250
155,canada,2012,0,0,0,1,18,,Marc Methot,26,P,6,0,2,2,25,6,0,0,0,0.000,0.333,0.333
156,canada,2012,0,0,0,1,19,,Luke Schenn,22,P,8,0,1,1,25,3,0,0,0,0.000,0.125,0.125
157,canada,2012,0,0,0,1,20,,Cam Ward,28,M,6,0,1,1,0,,0,0,0,0.000,0.167,0.167
158,canada,2012,0,0,0,1,21,,Kyle Quincey,26,P,6,0,0,0,4,3,0,0,0,0.000,0.000,0.000
159,canada,2012,0,0,0,1,22,,Ryan Murray,18,P,6,0,0,0,0,1,0,0,0,0.000,0.000,0.000
160,canada,2012,0,0,0,1,23,,Marc-Edouard Vlasic,25,P,2,0,0,0,0,0,0,0,0,0.000,0.000,0.000
161,canada,2012,0,0,0,1,24,,Devan Dubnyk,26,M,2,0,0,0,0,,0,0,0,0.000,0.000,0.000
