RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
2,FR,Damien Fleury,32,F,7,3,1,4,6,-2,1,0,1,0.429,0.143,0.571,2018,0,0,0,1
3,FR,Jordan Perret,23,F,7,1,3,4,2,0,1,0,0,0.143,0.429,0.571,2018,0,0,0,1
4,FR,Kevin Hecquefeuille,33,D,7,0,4,4,2,-6,0,0,0,0,0.571,0.571,2018,0,0,0,1
5,FR,Alexandre Texier,18,F,7,0,3,3,10,-4,0,0,0,0,0.429,0.429,2018,0,0,0,1
6,FR,Sacha Treille,30,F,7,2,0,2,4,-5,2,0,0,0.286,0,0.286,2018,0,0,0,1
7,FR,Valentin Claireaux,27,F,7,1,1,2,10,-2,0,0,0,0.143,0.143,0.286,2018,0,0,0,1
8,FR,Guillaume Leclerc,22,F,7,1,1,2,6,-2,0,0,0,0.143,0.143,0.286,2018,0,0,0,1
9,FR,Anthony Rech,25,F,7,0,2,2,0,-2,0,0,0,0,0.286,0.286,2018,0,0,0,1
10,FR,Jonathan Janil,30,D,6,0,2,2,16,0,0,0,0,0,0.333,0.333,2018,0,0,0,1
11,FR,Antonin Manavian,31,D,7,1,0,1,6,-5,1,0,0,0.143,0,0.143,2018,0,0,0,1
12,FR,Anthony Guttig,29,F,7,1,0,1,0,-4,0,0,0,0.143,0,0.143,2018,0,0,0,1
13,FR,Teddy Da Costa,32,F,7,1,0,1,4,-5,0,0,0,0.143,0,0.143,2018,0,0,0,1
14,FR,Loic Lamperier,28,F,6,1,0,1,2,-2,0,0,1,0.167,0,0.167,2018,0,0,0,1
15,FR,Floran Douay,23,F,7,0,1,1,4,-3,0,0,0,0,0.143,0.143,2018,0,0,0,1
16,FR,Florian Chakiachvili,26,D,6,0,1,1,4,-2,0,0,0,0,0.167,0.167,2018,0,0,0,1
17,FR,Hugo Gallet,20,D,6,0,1,1,6,-3,0,0,0,0,0.167,0.167,2018,0,0,0,1
18,FR,Yohann Auvitu,28,D,4,0,1,1,0,-2,0,0,0,0,0.25,0.25,2018,0,0,0,1
19,FR,Nicolas Ritz,26,F,7,0,0,0,2,-3,0,0,0,0,0,0,2018,0,0,0,1
20,FR,Damien Raux,33,F,7,0,0,0,2,-1,0,0,0,0,0,0,2018,0,0,0,1
21,FR,Florian Hardy,33,G,5,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
22,FR,Thomas Thiry,20,D,5,0,0,0,0,-3,0,0,0,0,0,0,2018,0,0,0,1
23,FR,Ronan Quemener,30,G,3,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
24,FR,Maurin Bouvet,22,F,3,0,0,0,0,-1,0,0,0,0,0,0,2018,0,0,0,1
25,FR,Sebastian Ylönen,26,G,1,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
1,DE,Leon Draisaitl,22,F,7,2,7,9,16,2,1,0,0,0.286,1,1.286,2018,0,0,0,1
2,DE,Yasin Ehliz,25,F,7,3,2,5,0,1,1,0,1,0.429,0.286,0.714,2018,0,0,0,1
3,DE,Yannic Seidenberg,34,F,7,2,3,5,2,0,1,0,0,0.286,0.429,0.714,2018,0,0,0,1
4,DE,Matthias Plachta,26,F,7,0,5,5,4,0,0,0,0,0,0.714,0.714,2018,0,0,0,1
5,DE,Patrick Hager,29,F,7,3,1,4,2,0,2,0,0,0.429,0.143,0.571,2018,0,0,0,1
6,DE,Dominik Kahun,22,F,7,1,2,3,0,-1,0,0,0,0.143,0.286,0.429,2018,0,0,0,1
7,DE,Marc Michaelis,22,F,7,1,2,3,2,0,0,0,0,0.143,0.286,0.429,2018,0,0,0,1
8,DE,Frederik Tiffels,22,F,7,2,0,2,6,0,0,0,0,0.286,0,0.286,2018,0,0,0,1
9,DE,Markus Eisenschmid,23,F,7,1,1,2,0,1,0,0,1,0.143,0.143,0.286,2018,0,0,0,1
10,DE,Björn Krupp,27,D,7,1,0,1,0,1,0,0,0,0.143,0,0.143,2018,0,0,0,1
11,DE,Korbinian Holzer,30,D,7,0,1,1,14,0,0,0,0,0,0.143,0.143,2018,0,0,0,1
12,DE,Moritz Müller,31,D,7,0,1,1,4,1,0,0,0,0,0.143,0.143,2018,0,0,0,1
13,DE,Marcel Noebels,26,F,7,0,1,1,2,1,0,0,0,0,0.143,0.143,2018,0,0,0,1
14,DE,Jonas Müller,22,D,7,0,1,1,16,1,0,0,0,0,0.143,0.143,2018,0,0,0,1
15,DE,Dennis Seidenberg,36,D,7,0,0,0,2,-2,0,0,0,0,0,0,2018,0,0,0,1
16,DE,Daniel Pietta,31,F,7,0,0,0,2,0,0,0,0,0,0,0,2018,0,0,0,1
17,DE,Nico Krämmer,25,F,7,0,0,0,0,-1,0,0,0,0,0,0,2018,0,0,0,1
18,DE,Sebastian Uvira,25,F,5,0,0,0,2,-1,0,0,0,0,0,0,2018,0,0,0,1
19,DE,Manuel Wiederer,21,F,5,0,0,0,6,-1,0,0,0,0,0,0,2018,0,0,0,1
20,DE,Oliver Mebus,25,D,4,0,0,0,0,-1,0,0,0,0,0,0,2018,0,0,0,1
21,DE,Niklas Treutle,27,G,4,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
22,DE,Mirko Höfflin,25,F,4,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
