RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
19,CH,Noah Rod,21,F,10,0,0,0,4,-2,0,0,0,0,0,0,2018,0,1,0,0
20,CH,Chris Baltisberger,26,F,9,0,0,0,4,0,0,0,0,0,0,0,2018,0,1,0,0
21,CH,Leonardo Genoni,30,G,7,0,0,0,0,,0,0,0,0,0,0,2018,0,1,0,0
22,CH,Damien Riat,21,F,6,0,0,0,0,1,0,0,0,0,0,0,2018,0,1,0,0
23,CH,Joel Genazzi,30,D,5,0,0,0,0,-1,0,0,0,0,0,0,2018,0,1,0,0
24,CH,Reto Berra,31,G,3,0,0,0,0,,0,0,0,0,0,0,2018,0,1,0,0
1,US,Patrick Kane,29,F,10,8,12,20,0,-2,6,0,3,0.8,1.2,2,2018,0,0,1,0
2,US,Cam Atkinson,28,F,10,7,4,11,2,-3,2,0,2,0.7,0.4,1.1,2018,0,0,1,0
3,US,Chris Kreider,27,F,10,4,6,10,2,7,3,0,0,0.4,0.6,1,2018,0,0,1,0
4,US,Dylan Larkin,21,F,10,3,6,9,8,6,1,0,1,0.3,0.6,0.9,2018,0,0,1,0
5,US,Charlie McAvoy,20,D,6,3,6,9,4,-1,1,0,0,0.5,1,1.5,2018,0,0,1,0
6,US,Johnny Gaudreau,24,F,10,1,8,9,12,0,0,0,0,0.1,0.8,0.9,2018,0,0,1,0
7,US,Alex DeBrincat,20,F,10,1,8,9,0,3,0,0,0,0.1,0.8,0.9,2018,0,0,1,0
8,US,Derek Ryan,31,F,10,4,3,7,0,3,2,1,0,0.4,0.3,0.7,2018,0,0,1,0
9,US,Anders Lee,27,F,10,4,0,4,4,1,0,0,0,0.4,0,0.4,2018,0,0,1,0
10,US,Nick Jensen,27,D,10,1,3,4,0,0,0,0,0,0.1,0.3,0.4,2018,0,0,1,0
11,US,Nick Bonino,30,F,5,1,3,4,0,-1,1,0,1,0.2,0.6,0.8,2018,0,0,1,0
12,US,Colin White,21,F,10,2,1,3,6,1,0,0,0,0.2,0.1,0.3,2018,0,0,1,0
13,US,Neal Pionk,22,D,10,2,1,3,4,7,0,0,0,0.2,0.1,0.3,2018,0,0,1,0
14,US,Alec Martinez,30,D,10,1,2,3,4,2,0,0,0,0.1,0.2,0.3,2018,0,0,1,0
15,US,Will Butcher,23,D,10,1,2,3,0,1,0,0,1,0.1,0.2,0.3,2018,0,0,1,0
16,US,Tage Thompson,20,F,10,1,2,3,16,3,0,0,0,0.1,0.2,0.3,2018,0,0,1,0
17,US,Blake Coleman,26,F,10,1,1,2,8,3,0,0,0,0.1,0.1,0.2,2018,0,0,1,0
18,US,Sonny Milano,21,F,8,1,1,2,4,3,0,0,0,0.125,0.125,0.25,2018,0,0,1,0
19,US,Quinton Hughes,18,D,10,0,2,2,2,4,0,0,0,0,0.2,0.2,2018,0,0,1,0
20,US,Connor Murphy,25,D,10,0,1,1,8,7,0,0,0,0,0.1,0.1,2018,0,0,1,0
21,US,Jordan Oesterle,25,D,4,0,1,1,0,3,0,0,0,0,0.25,0.25,2018,0,0,1,0
22,US,Keith Kinkaid,28,G,9,0,0,0,6,,0,0,0,0,0,0,2018,0,0,1,0
23,US,Brian Gibbons,30,F,7,0,0,0,2,0,0,0,0,0,0,0,2018,0,0,1,0
24,US,Scott Darling,29,G,2,0,0,0,0,,0,0,0,0,0,0,2018,0,0,1,0
